run,year,electricity
11,2045,1371853.32200699
11,2050,1430285.30479
12,2015,1052092.732
12,2020,1110371.3439800001
12,2025,1158566.02897999
12,2030,1210907.86233
12,2035,1253267.63163999
12,2040,1310557.9733799999
12,2045,1372695.49410799
12,2050,1431247.96049
13,2015,1052092.732
13,2020,1109890.02721
13,2025,1157763.25437
13,2030,1209725.84084
13,2035,1251742.39328
13,2040,1308774.14824
13,2045,1370663.78108799
13,2050,1429034.7311800001
14,2015,1052092.732
14,2020,1110610.0719999901
14,2025,1158881.2797899898
14,2030,1211259.95398
14,2035,1253673.22153
14,2040,1310962.46250999
14,2045,1373115.404235
14,2050,1431616.4015499998
15,2015,1052092.732
15,2020,1110131.13271999
15,2025,1158014.78743
15,2030,1210004.29088
15,2035,1252030.65514999
15,2040,1309091.7955200002
15,2045,1371055.3835519901
15,2050,1429423.38966999
16,2015,1052092.732
16,2020,1110220.14857999
16,2025,1158261.46123
16,2030,1210445.96717
16,2035,1252653.67842
16,2040,1309847.5860000001
16,2045,1371910.300478
16,2050,1430397.86036999
17,2015,1052092.732
17,2020,1110698.50966
17,2025,1158884.98649
17,2030,1211132.13928999
17,2035,1253425.98454
17,2040,1310607.22186999
17,2045,1372680.524334
17,2050,1431042.63963
18,2015,1052092.732
18,2020,1109980.46923
18,2025,1158015.97822
18,2030,1210168.78096
18,2035,1252358.7472899999
18,2040,1309552.41722999
18,2045,1371585.745257
18,2050,1430106.18412
19,2015,1052092.732
19,2020,1110460.0778
19,2025,1158586.54473
19,2030,1210808.77948
19,2035,1253060.81758
19,2040,1310267.9245499899
19,2045,1372391.9190510001
19,2050,1430867.57041
20,2015,1052092.732
20,2020,1110101.01678
20,2025,1158194.54017
20,2030,1210438.18438
20,2035,1252709.34302
20,2040,1309937.08794
20,2045,1371998.258583
20,2050,1430539.51577
21,2015,1052092.732
21,2020,1110580.35021
21,2025,1158835.45356
21,2030,1211156.1256000001
21,2035,1253509.86343
21,2040,1310788.94634
21,2045,1372968.540248
21,2050,1431477.80424999
22,2015,1052092.732
22,2020,1109860.05026
22,2025,1157803.5201
22,2030,1209863.86133
22,2035,1251958.62553999
