run,year,electricity
33,2035,529481.299999999
33,2040,590747.0
33,2045,644505.7
33,2050,700446.2999999999
34,2015,327485.0
34,2020,312948.0
34,2025,378528.0
34,2030,461179.199999999
34,2035,530734.9
34,2040,592358.3999999999
34,2045,646162.9
34,2050,702625.5
35,2015,327485.0
35,2020,312942.999999999
35,2025,377918.899999999
35,2030,460139.3
35,2035,529375.1
35,2040,590329.6
35,2045,643694.6
35,2050,699531.8
36,2015,327485.0
36,2020,312946.0
36,2025,378186.6
36,2030,460712.4
36,2035,530142.2999999999
36,2040,591679.4
36,2045,645452.5
36,2050,701837.0
37,2015,327485.0
37,2020,312941.0
37,2025,378493.6
37,2030,460739.2
37,2035,530005.3999999999
37,2040,591133.0
37,2045,644669.3999999999
37,2050,700509.199999999
38,2015,327485.0
38,2020,312948.0
38,2025,378353.7
38,2030,460730.7
38,2035,530058.3999999991
38,2040,591396.9
38,2045,645044.3999999999
38,2050,701175.0
39,2015,327485.0
39,2020,312942.999999999
39,2025,377839.599999999
39,2030,459809.6
39,2035,528760.7
39,2040,589854.2
39,2045,643575.199999999
39,2050,699447.2000000001
40,2015,327485.0
40,2020,312940.0
40,2025,378014.39999999997
40,2030,460544.8
40,2035,529945.9
40,2040,591414.7
40,2045,645245.3
40,2050,701727.4
41,2015,327485.0
41,2020,312945.0
41,2025,378376.3
41,2030,460646.5
41,2035,529917.3
41,2040,591168.7
41,2045,644785.699999999
41,2050,700749.7999999999
42,2015,327485.0
42,2020,312942.999999999
42,2025,378571.5
42,2030,461038.59999999905
42,2035,530499.3999999999
42,2040,591760.3
42,2045,645345.5
42,2050,701439.2000000001
43,2015,327485.0
43,2020,312948.0
43,2025,378146.0
43,2030,460208.0
43,2035,529273.5
43,2040,590504.8
43,2045,644134.1000000001
43,2050,699949.4
44,2015,327485.0
44,2020,312938.999999999
44,2025,378022.6
44,2030,460313.6
44,2035,529603.7999999999
44,2040,590739.4
44,2045,644226.1
44,2050,700169.2000000001
45,2015,327485.0
45,2020,312944.0
45,2025,378472.3
45,2030,460493.89999999903
45,2035,529509.5
45,2040,590728.799999999
45,2045,644460.599999999
45,2050,700241.9
46,2015,327485.0
46,2020,312942.0
46,2025,378403.9
46,2030,460935.6
46,2035,530345.7000000001
46,2040,591866.1
46,2045,645857.399999999
46,2050,702391.0
47,2015,327485.0
47,2020,312947.0
47,2025,377729.0
47,2030,459803.6
47,2035,528881.1
47,2040,589988.1
47,2045,643486.6
47,2050,699315.699999999
48,2015,327485.0
48,2020,312949.0
48,2025,377691.2
48,2030,460058.0
48,2035,529414.7999999999
48,2040,590431.0
48,2045,643788.7
48,2050,699847.399999999
49,2015,327485.0
49,2020,312944.0
49,2025,378239.1
49,2030,460380.099999999
49,2035,529514.2000000001
49,2040,590735.1
49,2045,644347.2999999999
49,2050,700196.7999999999
50,2015,327485.0
50,2020,312946.0
50,2025,378521.1
50,2030,460885.699999999
50,2035,530191.8
50,2040,591666.599999999
50,2045,645526.2000000001
50,2050,701754.8
51,2015,327485.0
51,2020,312924.0
51,2025,377877.8
51,2030,459753.8
51,2035,528701.0
51,2040,589564.5
51,2045,642953.4
51,2050,698338.2999999999
52,2015,327485.0
52,2020,312898.0
52,2025,378175.3
52,2030,460518.89999999903
52,2035,529801.1
52,2040,591199.3999999991
52,2045,645068.5
52,2050,701354.7999999999
53,2015,327485.0
53,2020,312926.0
53,2025,378479.10000000003
53,2030,460553.2
53,2035,529668.0
53,2040,590823.3
53,2045,644431.3
53,2050,700056.6
54,2015,327485.0
54,2020,312934.999999999
54,2025,378364.999999999
54,2030,460913.89999999997
54,2035,530428.1
54,2040,591727.0
54,2045,645304.1000000001
54,2050,701477.7
55,2015,327485.0
55,2020,312925.0
55,2025,377855.2
55,2030,460003.89999999903
55,2035,529129.299999999
55,2040,590370.9
55,2045,643968.7
55,2050,699805.9
56,2015,327485.0
56,2020,312930.0
56,2025,377798.0
56,2030,460058.499999999
56,2035,529278.799999999
56,2040,590563.6
56,2045,644157.8999999999
56,2050,700139.7999999999
57,2015,327485.0
57,2020,312929.0
57,2025,378174.0
57,2030,460143.7
57,2035,529192.8
57,2040,590063.4
57,2045,643461.6
57,2050,698923.5
58,2015,327485.0
58,2020,312929.0
58,2025,378530.6
58,2030,461064.19999999995
58,2035,530543.1000000001
58,2040,591945.699999999
58,2045,645614.2999999999
58,2050,701776.7000000001
59,2015,327485.0
59,2020,312930.0
59,2025,378075.3
59,2030,460221.5
59,2035,529331.4
59,2040,590591.8
59,2045,644357.5
59,2050,700309.2
60,2015,327485.0
60,2020,312933.0
60,2025,377981.2
60,2030,460505.0
60,2035,529946.599999999
60,2040,591344.1000000001
60,2045,644962.3
60,2050,701215.7999999999
