run,year,electricity
48,2035,198664.698562
48,2040,275334.103987999
48,2045,360338.94023999904
48,2050,450029.86309999996
49,2015,735.69095
49,2020,13963.17973722
49,2025,48192.493260914
49,2030,124512.03398322
49,2035,196752.484393
49,2040,263081.30882000003
49,2045,336254.74924
49,2050,415447.031699999
50,2015,735.69095
50,2020,13963.5546522299
50,2025,46538.047937920994
50,2030,123122.899029965
50,2035,195910.92016699899
50,2040,260248.75745299904
50,2045,327202.23884
50,2050,400106.68830000004
51,2015,735.69095
51,2020,13962.775079197
51,2025,50043.589120898
51,2030,126063.89230810899
51,2035,197687.47853999998
51,2040,269055.97117699997
51,2045,348098.02045
51,2050,432467.5348
52,2015,735.69095
52,2020,13963.878970077001
52,2025,45705.715623811
52,2030,122306.106796137
52,2035,195245.83987899998
52,2040,259767.217350999
52,2045,323257.997419999
52,2050,392565.121899999
53,2015,735.69095
53,2020,13962.963148203
53,2025,49223.1296679019
53,2030,125486.96277146101
53,2035,197501.56672200002
53,2040,266462.56221
53,2045,342613.527789999
53,2050,424432.8947
54,2015,735.69095
54,2020,13963.343812218001
54,2025,50868.861868913
54,2030,126932.042250499
54,2035,198496.958241
54,2040,272618.749473
54,2045,354754.325219999
54,2050,441963.6978
55,2015,735.69095
55,2020,13962.589567195999
55,2025,47360.729445897
55,2030,123677.543430547
55,2035,196046.95624
55,2040,259920.879411
55,2045,330128.95967
55,2050,406419.309799999
56,2015,735.69095
56,2020,13962.871160203998
56,2025,47776.305723902995
56,2030,124037.556541451
56,2035,196289.909368999
56,2040,261314.51828199998
56,2045,332995.63826
56,2050,410684.240299999
57,2015,735.69095
57,2020,13963.6324332199
57,2025,51279.432920914
57,2030,127247.34945422
57,2035,198624.66410099898
57,2040,273915.722353
57,2045,357405.90372999996
57,2050,445710.4
58,2015,735.69095
58,2020,13962.486469196
58,2025,49632.271855897
58,2030,125861.54544726798
58,2035,197791.32871200002
58,2040,268015.521153
58,2045,345746.02695
58,2050,428892.524899999
59,2015,735.69095
59,2020,13963.2558422119
59,2025,46119.490605909
59,2030,122641.04955220601
